Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.5) + c - (e>0.5),0.31704929512908464,0.41349348021238264,1.322688674337816
Threshold: (n>0.3) + c - (e>0.3),0.28782363209015405,0.4245901457401908,1.3884407335144866
Threshold: (n>0.7) + c - (e>0.7),0.28246173879975794,0.41460129647252475,1.4374561117558367
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),0.14838276841039005,0.5217959971855677,1.5404280903849161
Quadratic: n² + c - e²,0.14770997462585309,0.516702824935332,1.5379365684098494
Linear: n*0.8 + c*1.5 - e*0.8,0.14710537734197932,0.5154706617436368,1.5411118280654743
Linear: n*0.8 + c*1.5 - e*1.1,0.1468527038244404,0.5147414332913006,1.542564905580408
Linear: n*0.8 + c*1.5 - e*1.5,0.14663074249066135,0.5143836086998612,1.5436709496354415
Linear: n*1.0 + c*1.5 - e*0.8,0.14659230287266364,0.5143380971792448,1.5438480859864312
Linear: n*1.0 + c*1.5 - e*1.1,0.14635386629247113,0.5141328484167667,1.5447442042338044
Linear: n*1.0 + c*1.5 - e*1.5,0.14616270329016787,0.5140383261437317,1.5452895924546748
Linear: n*1.1 + c*1.5 - e*0.8,0.14596951397318397,0.5139869717590086,1.546172765246285
Linear: n*1.1 + c*1.5 - e*1.1,0.14579719942026184,0.513969836277362,1.5473442014798664
Linear: n*1.1 + c*1.5 - e*1.5,0.14566457343062508,0.5139713309960802,1.5482098595826197
Linear: n*0.8 + c*1.0 - e*0.8,0.14561679476820433,0.5139745515906775,1.5484974453541795
Linear: n*0.8 + c*1.0 - e*1.1,0.14546139589041202,0.5139938629619539,1.5493088451381736
Linear: n*0.8 + c*1.0 - e*1.5,0.1453500571412733,0.514015056216964,1.5498792613328436
Linear: n*1.3 + c*1.5 - e*0.8,0.1453168714464574,0.5140223887424373,1.5500484296594035
Linear: n*1.3 + c*1.5 - e*1.1,0.14523158018335156,0.514043488085663,1.5504779411046594
Linear: n*1.3 + c*1.5 - e*1.5,0.14516653868754725,0.5140614908909764,1.550802543028401
Linear: n*1.0 + c*1.0 - e*0.8,0.14479895161193046,0.5141899758586529,1.5525960621983537
Linear: n*1.0 + c*1.0 - e*1.1,0.14478059248645872,0.5141974508188758,1.5526837246922554
Linear: n*1.0 + c*1.0 - e*1.5,0.1447673993396966,0.5142028773642076,1.5527466299488857
Linear: n*1.5 + c*1.5 - e*0.8,0.1446871417856537,0.5142368231356101,1.553129246660082
Linear: n*1.5 + c*1.5 - e*1.1,0.144687100828134,0.5142368444484279,1.5531292369801706
Linear: n*1.5 + c*1.5 - e*1.5,0.1446870694274263,0.5142368607883088,1.5531292295587964
Sigmoid: σ(5n) + c - σ(5e),0.14435342376435184,0.5153689574075667,1.5518230047583137
Linear: n*1.1 + c*1.0 - e*1.5,0.1442230905309094,0.5144616615967071,1.5552785448198296
Linear: n*1.1 + c*1.0 - e*1.1,0.14415071724478953,0.5145004962899237,1.555604173431414
Linear: n*1.1 + c*1.0 - e*0.8,0.1440516834608111,0.5145550473661177,1.5560468699925278
Linear: n*1.3 + c*1.0 - e*1.5,0.1437239793285488,0.5147458056560894,1.5574873394165496
Linear: n*0.8 + c*0.5 - e*1.5,0.14358966141822413,0.5148279194413713,1.5580670258630578
Linear: n*1.3 + c*1.0 - e*1.1,0.1435820537185985,0.5148326523643059,1.5581000963511926
Linear: n*1.3 + c*1.0 - e*0.8,0.14339157094962945,0.5149525107033933,1.5589111719972362
Linear: n*0.8 + c*0.5 - e*1.1,0.14338345711286285,0.5149576618690032,1.5589449546801109
Linear: n*1.5 + c*1.0 - e*1.5,0.1432695794712307,0.5150309399680061,1.5594230474772348
Linear: n*0.8 + c*0.5 - e*0.8,0.14308301212507005,0.5151529740626156,1.5601945394746546
Linear: n*1.5 + c*1.0 - e*1.1,0.14307242835925046,0.5151599704766234,1.5602380112479035
Linear: n*1.0 + c*0.5 - e*1.5,0.1430431578262927,0.5151792937964664,1.560357195363037
Linear: n*1.5 + c*1.0 - e*0.8,0.14281222163426446,0.5153332767606679,1.561286654081249
Linear: n*1.0 + c*0.5 - e*1.1,0.1427560293235281,0.5153709416423814,1.561508230213923
Linear: n*1.1 + c*0.5 - e*1.5,0.14255574833877335,0.5155055651616964,1.5622849703369464
Linear: n*1.0 + c*0.5 - e*0.8,0.1423477246423838,0.5156449988805109,1.563065757088658
Linear: n*1.1 + c*0.5 - e*1.1,0.1422061784016478,0.5157389819720738,1.5635796417171393
Linear: n*1.3 + c*0.5 - e*1.5,0.14211646359704028,0.5157979670625193,1.5638974812419781
Linear: n*1.1 + c*0.5 - e*0.8,0.14171493816220357,0.5160533294455073,1.565218451631236
Linear: n*1.3 + c*0.5 - e*1.1,0.14171491352397333,0.5160533342371689,1.5652184649996403
Linear: n*1.5 + c*0.5 - e*1.5,0.14171489750913344,0.5160533373517674,1.565218473689072
Linear: n*1.5 + c*0.5 - e*1.1,0.14126605417338745,0.5163129488756095,1.5674142209163273
Linear: n*1.3 + c*0.5 - e*0.8,0.14115076878425253,0.5163737477861383,1.5680063180121806
Sigmoid: σ(10n) + c - σ(10e),0.14079324868153992,0.5156391691189063,1.554369107689681
Linear: n*1.5 + c*0.5 - e*0.8,0.14063047178501686,0.5166114610604057,1.5709609716234123
Interaction: n + (n*c) - e,0.13960226076782742,0.5168943823923201,1.5760350314255493
Ratio: (n/(e+0.01)) + c,0.13618505110984663,0.5125795693266817,1.5905852309659547
Sigmoid: σ(15n) + c - σ(15e),0.13522481147017118,0.5120042008849085,1.5563488454097851
