Formula,Avg Pearson,Std Pearson,Avg MAE
Linear: n*0.8 + c*1.5 - e*0.8,0.30595941599833676,0.46261484819572607,1.3444036735675269
Sigmoid: σ(15n) + c - σ(15e),0.3039161878360651,0.4472395989154893,1.3200768192044072
Linear: n*0.8 + c*1.5 - e*1.1,0.2993032173792677,0.46682753709659036,1.351091625150181
Linear: n*0.8 + c*1.5 - e*1.5,0.2944237412015702,0.4697639399525868,1.3559960820842847
Quadratic: n² + c - e²,0.29366834677777787,0.46931701836119855,1.341951802906578
Linear: n*1.0 + c*1.5 - e*0.8,0.29363797941609554,0.4702243211292944,1.3568222711467075
Linear: n*1.0 + c*1.5 - e*1.1,0.2890635291868502,0.47283411306332884,1.3606875169865138
Linear: n*1.0 + c*1.5 - e*1.5,0.28566191681068237,0.47469591549017337,1.3621505923752997
Linear: n*1.1 + c*1.5 - e*0.8,0.28238673762001365,0.47642436954758693,1.363603604810037
Linear: n*1.1 + c*1.5 - e*1.1,0.2795684440963021,0.47786128226312263,1.3650709914370367
Sigmoid: σ(5n) + c - σ(5e),0.2778202796527389,0.4797769927829669,1.3605463094725194
Linear: n*1.1 + c*1.5 - e*1.5,0.27744734722715,0.4789121068951396,1.3665313243510138
Linear: n*0.8 + c*1.0 - e*0.8,0.276690750533011,0.4792806122657425,1.3670580691546252
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),0.2757538983559117,0.4957879338728507,1.4073439399767314
Sigmoid: σ(10n) + c - σ(10e),0.27557179257266873,0.4722574131304717,1.332667864161393
Linear: n*0.8 + c*1.0 - e*1.1,0.2742564201047541,0.48044385677824275,1.3687735145124
Linear: n*0.8 + c*1.0 - e*1.5,0.2725304058407413,0.4812481025859085,1.3700087775441114
Linear: n*1.3 + c*1.5 - e*0.8,0.27201605076582086,0.48148451481748417,1.370379905379342
Linear: n*1.3 + c*1.5 - e*1.1,0.27070392215689365,0.4820808533879654,1.3711940934916418
Linear: n*1.3 + c*1.5 - e*1.5,0.26970640819510605,0.4825277828584831,1.3718162910289151
Linear: n*1.0 + c*1.0 - e*0.8,0.2640888202883389,0.4849435506461989,1.3747756837093907
Linear: n*1.0 + c*1.0 - e*1.1,0.26380903065766126,0.48505947946590205,1.374921725355205
Linear: n*1.0 + c*1.0 - e*1.5,0.26360792897744856,0.4851425531445372,1.3750268844305995
Linear: n*1.5 + c*1.5 - e*0.8,0.26237890599231256,0.48564573710309966,1.3756729910194163
Linear: n*1.5 + c*1.5 - e*1.1,0.26237890515153217,0.48564573483028706,1.375672992485233
Linear: n*1.5 + c*1.5 - e*1.5,0.262378904506933,0.48564573308779635,1.3756729936090255
Linear: n*1.1 + c*1.0 - e*1.5,0.25522197015711695,0.4884267888806515,1.379550498518263
Linear: n*1.1 + c*1.0 - e*1.1,0.25409034020413535,0.4888442981375509,1.3801812017547817
Linear: n*1.1 + c*1.0 - e*0.8,0.25253337179826846,0.4894093384115917,1.3810566787239182
Linear: n*1.3 + c*1.0 - e*1.5,0.2473029928346356,0.49123155871028784,1.3843874053636986
Linear: n*0.8 + c*0.5 - e*1.5,0.24511832032896086,0.4919600108259142,1.3859820456059648
Linear: n*1.3 + c*1.0 - e*1.1,0.2449923178021062,0.4920014741732463,1.3860801518057095
Linear: n*1.3 + c*1.0 - e*0.8,0.2418431879781991,0.4930186537905682,1.388692227680662
Linear: n*0.8 + c*0.5 - e*1.1,0.24170943431251368,0.49306106353654244,1.3888134656717008
Linear: n*1.5 + c*1.0 - e*1.5,0.23979699647035754,0.4936608228793417,1.3905529441567261
Linear: n*0.8 + c*0.5 - e*0.8,0.23661709659716115,0.49463138328405976,1.393470865124839
Linear: n*1.5 + c*1.0 - e*1.1,0.2364343535672388,0.4946861929031201,1.3936395390054916
Linear: n*1.0 + c*0.5 - e*1.5,0.235930721971866,0.4948367067448186,1.3941049787493516
Linear: n*1.5 + c*1.0 - e*0.8,0.2318902264730099,0.4960174179418741,1.397869674312091
Linear: n*1.0 + c*0.5 - e*1.1,0.2308944630182665,0.4963014063407427,1.3988060365750128
Linear: n*1.1 + c*0.5 - e*1.5,0.22729325223922153,0.4973071996174662,1.4025045348655596
Linear: n*1.0 + c*0.5 - e*0.8,0.22347586159024804,0.4983397723305691,1.4075010726560895
Linear: n*1.1 + c*0.5 - e*1.1,0.22083734511756922,0.4990351624536028,1.410972527084512
Linear: n*1.3 + c*0.5 - e*1.5,0.21914840297365773,0.49947305727162755,1.413203118297765
Threshold: (n>0.7) + c - (e>0.7),0.2160291413058694,0.41308887739167666,1.5637987479412383
Linear: n*1.1 + c*0.5 - e*0.8,0.21145057567979086,0.5014055819508169,1.424478145745808
Linear: n*1.3 + c*0.5 - e*1.1,0.2114505755452541,0.5014055800094727,1.4244781465569232
Linear: n*1.5 + c*0.5 - e*1.5,0.21145057545780502,0.5014055787475987,1.4244781470841472
Linear: n*1.5 + c*0.5 - e*1.1,0.2026654848861466,0.5035053077173453,1.4386127802870183
Linear: n*1.3 + c*0.5 - e*0.8,0.20039549778349947,0.5040326745466753,1.4423358669288329
Threshold: (n>0.5) + c - (e>0.5),0.1969331761739112,0.46381358544583484,1.6100413044675108
Linear: n*1.5 + c*0.5 - e*0.8,0.19019596484323004,0.5063384170530398,1.4566217357076785
Ratio: (n/(e+0.01)) + c,0.1888648514179781,0.5122071284728846,1.5373703165191879
Interaction: n + (n*c) - e,0.1784591919972127,0.5098132424494833,1.470520136299229
SigmoidLinear: σ(5n + c - 3e),0.17563160557676794,0.5000893727119577,1.5279066718668037
Threshold: (n>0.3) + c - (e>0.3),0.16987868276846949,0.43543407745321566,1.6636557263307954
Exp: n + c*exp(-2*e),0.167026902632599,0.5031367835887334,1.506576902711833
