Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.5) + c - (e>0.5),0.04427915918716304,0.40041107337387016,1.674283459133013
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),0.040344118799729746,0.47699964653509985,1.6985664189683873
Linear: n*0.8 + c*1.5 - e*0.8,-0.011909056729435827,0.4652449076988497,1.7940376541676955
Linear: n*0.8 + c*1.5 - e*1.1,-0.016051411707583455,0.4693518670204714,1.8051326679955415
Linear: n*0.8 + c*1.5 - e*1.5,-0.019185195693579616,0.47234988245396037,1.8135347311732541
Linear: n*1.0 + c*1.5 - e*0.8,-0.019696812403565123,0.47283213490845105,1.8149094331129796
Linear: n*1.0 + c*1.5 - e*1.1,-0.02271037428737021,0.47563824291998563,1.8230344906383773
Quadratic: n² + c - e²,-0.023352781162182222,0.47787559007134506,1.8170474284615963
Linear: n*1.0 + c*1.5 - e*1.5,-0.024986542436691246,0.47772503060584876,1.8277539789978374
Linear: n*1.1 + c*1.5 - e*0.8,-0.02720273329220325,0.4797357601667567,1.831948035280097
Linear: n*1.1 + c*1.5 - e*1.1,-0.029126532283244876,0.48146785618695626,1.8351672305712854
Linear: n*1.1 + c*1.5 - e*1.5,-0.03058322192517169,0.48277293022247686,1.836529904581322
Linear: n*0.8 + c*1.0 - e*0.8,-0.031104440942309484,0.48323880336166986,1.8369079028770323
Linear: n*0.8 + c*1.0 - e*1.1,-0.032786566628551006,0.48473901551180193,1.8383053652539167
Linear: n*0.8 + c*1.0 - e*1.5,-0.03398335749616173,0.4858039884476409,1.839363647463199
Linear: n*1.3 + c*1.5 - e*0.8,-0.03434055104525965,0.486121599318028,1.8396158564877545
Linear: n*1.3 + c*1.5 - e*1.1,-0.03525285093557858,0.4869321846491845,1.840257966409131
Linear: n*1.3 + c*1.5 - e*1.5,-0.03594729174646193,0.4875488477613253,1.8407446896675705
Linear: n*1.0 + c*1.0 - e*0.8,-0.03986739236672178,0.49102869935971144,1.8434609759788123
Linear: n*1.0 + c*1.0 - e*1.1,-0.0400628670436589,0.4912023099029805,1.843595129714909
Linear: n*1.0 + c*1.0 - e*1.5,-0.040203369780222466,0.4913271114745397,1.84369148343237
Linear: n*1.5 + c*1.5 - e*0.8,-0.041062009962003196,0.4920902139677599,1.8442789045072001
Linear: n*1.5 + c*1.5 - e*1.1,-0.041062016630650365,0.4920902044731709,1.8442789235659955
Linear: n*1.5 + c*1.5 - e*1.5,-0.04106202174328415,0.4920901971939781,1.844278938177738
Sigmoid: σ(5n) + c - σ(5e),-0.043484859528046746,0.48715385798781063,1.8484796457779182
Linear: n*1.1 + c*1.0 - e*1.5,-0.04605432760640474,0.4965432013643192,1.8477693638211554
Linear: n*1.1 + c*1.0 - e*1.1,-0.046841060368331036,0.4972485462875804,1.8482543634033566
Linear: n*1.1 + c*1.0 - e*0.8,-0.047921704471759655,0.49821942940602854,1.8486546354672122
Linear: n*1.3 + c*1.0 - e*1.5,-0.05153279785746223,0.5014834457017017,1.849990808494212
Linear: n*0.8 + c*0.5 - e*1.5,-0.053030404593872,0.5028473431613402,1.85054076263271
Linear: n*1.3 + c*1.0 - e*1.1,-0.053116545297616266,0.5029260291229325,1.850571697229589
Linear: n*1.3 + c*1.0 - e*0.8,-0.055261256755278175,0.5048918341717157,1.8513434047989796
Linear: n*0.8 + c*0.5 - e*1.1,-0.05535198596027714,0.5049752864853758,1.8513761240064723
Linear: n*1.5 + c*1.0 - e*1.5,-0.05664541314829687,0.5061685982907946,1.851841604127684
Linear: n*0.8 + c*0.5 - e*0.8,-0.0587802285291793,0.5081512776497106,1.8526102110756342
Linear: n*1.5 + c*1.0 - e*1.1,-0.05890227349158765,0.5082651534084887,1.8526541510454113
Linear: n*1.0 + c*0.5 - e*1.5,-0.05923828009889147,0.5085789033942854,1.8527752332988043
Linear: n*1.5 + c*1.0 - e*0.8,-0.06191340786414392,0.5110932398746614,1.8537393247459462
Linear: n*1.0 + c*0.5 - e*1.1,-0.06256687499161362,0.5117119046679843,1.8541049918432466
Threshold: (n>0.7) + c - (e>0.7),-0.06485239331778611,0.4187704134191621,1.909782665370912
Linear: n*1.1 + c*0.5 - e*1.5,-0.0649097209297961,0.5139455077226771,1.8558882170618503
Ratio: (n/(e+0.01)) + c,-0.06554940965885737,0.47756319961786536,1.8334837207228631
Linear: n*1.0 + c*0.5 - e*0.8,-0.06735660028379235,0.5163053239454779,1.8576974003255553
Linear: n*1.1 + c*0.5 - e*1.1,-0.06902473398394965,0.5179307588062024,1.858877983962787
Linear: n*1.3 + c*0.5 - e*1.5,-0.07008226592724313,0.5189685074931062,1.8596265398885325
SigmoidLinear: σ(5n + c - 3e),-0.07238480624895763,0.5296609385194203,1.8627445228086834
Linear: n*1.1 + c*0.5 - e*0.8,-0.07479671215954821,0.523667325480083,1.8629677065663184
Linear: n*1.3 + c*0.5 - e*1.1,-0.07479671639155819,0.5236673198338482,1.8629677286326871
Linear: n*1.5 + c*0.5 - e*1.5,-0.07479671914236602,0.5236673161637928,1.8629677429758256
Linear: n*1.5 + c*0.5 - e*1.1,-0.0799559988795758,0.528955257395991,1.8666281311067425
Linear: n*1.3 + c*0.5 - e*0.8,-0.08124953352995315,0.5303065948832223,1.867530696301222
Linear: n*1.5 + c*0.5 - e*0.8,-0.08685686072689969,0.5362910494751781,1.8705601911853755
Interaction: n + (n*c) - e,-0.08815488738989427,0.5391495110534338,1.8712427308724287
Sigmoid: σ(10n) + c - σ(10e),-0.09588882460686665,0.5296739697576529,1.9138979323259266
Threshold: (n>0.3) + c - (e>0.3),-0.1024265650928852,0.43134479470376547,1.9106229785502027
Exp: n + c*exp(-2*e),-0.10504782185162136,0.5650049919968292,1.8866228272597485
Sigmoid: σ(15n) + c - σ(15e),-0.10936339992881802,0.5468384895107531,1.8991612048453228
